ID DECLARATION;TYPE DECLARATION;SOUS TYPE DECLARATION;ADRESSE;CODE POSTAL;VILLE;ARRONDISSEMENT;CONSEIL DE QUARTIER;DATE DECLARATION;ANNEE DECLARATION;MOIS DECLARATION;OUTIL SOURCE;INTERVENANT;ID_DMR;geo_shape;geo_point_2d;mois_annee_decla
62766;Arbres, végétaux et animaux;Arbuste ou jardinière en mauvais état;68 Rue du Chemin Vert, 75011 PARIS;75011;Paris 11;11;LEON BLUM - FOLIE-REGNAULT;2022-04-26;2022;4;Androï;;G2022D062766;"{""coordinates"": [2.3776429959214997, 48.85989399493313], ""type"": ""Point""}";48.85989399493313,2.3776429959214997;2022-04
59453;Arbres, végétaux et animaux;Pied d'arbre:Végétation débordante en pied d'arbre;18 Rue Francis de Croisset, 75018 PARIS;75018;Paris 18;18;MOSKOWA - PORTE MONTMARTRE - PORTE DE CLIGNANCOURT;2022-06-22;2022;6;Androï;DPE-STPP-DT;G2022F059453;"{""coordinates"": [2.3447250949866603, 48.89942600063195], ""type"": ""Point""}";48.89942600063195,2.3447250949866603;2022-06
58705;Arbres, végétaux et animaux;Pied d'arbre:Entourage d'arbre en mauvais état;1 rue Custine, 75018 PARIS;75018;Paris 18;18;GOUTTE D'OR - CHATEAU ROUGE;2022-06-22;2022;6;Page DMR Paris.fr;DEVE-SAB;S2022F058705;"{""coordinates"": [2.349208395210109, 48.887310002336925], ""type"": ""Point""}";48.887310002336925,2.349208395210109;2022-06
683;Arbres, végétaux et animaux;Herbes éparses;10 Rue de Bellefond, 75009 PARIS;75009;Paris 9;9;ANVERS - MONTHOLON;2022-07-01;2022;7;Androï;DPE-STPP-DT;G2022G000683;"{""coordinates"": [2.3482715974847412, 48.87830399649302], ""type"": ""Point""}";48.87830399649302,2.3482715974847412;2022-07
69086;Arbres, végétaux et animaux;Herbes éparses;65 Rue de Ménilmontant, 75020 PARIS;75020;Paris 20;20;BELLEVILLE;2022-06-26;2022;6;Androï;DPE-STPP-DT;G2022F069086;"{""coordinates"": [2.3875800023248086, 48.868310003375555], ""type"": ""Point""}";48.868310003375555,2.3875800023248086;2022-06
59527;Arbres, végétaux et animaux;Pied d'arbre:Élément de grille d'arbre manquant;32 Rue Ginette Neveu, 75018 PARIS;75018;Paris 18;18;MOSKOWA - PORTE MONTMARTRE - PORTE DE CLIGNANCOURT;2022-06-22;2022;6;Androï;DVD;G2022F059527;"{""coordinates"": [2.3445455946537495, 48.90073400039157], ""type"": ""Point""}";48.90073400039157,2.3445455946537495;2022-06
35065;Arbres, végétaux et animaux;Herbes éparses;56 rue Saint-Jacques, 75005 PARIS;75005;Paris 5;5;SORBONNE;2022-06-13;2022;6;Page DMR Paris.fr;DPE-STPP-DT;S2022F035065;"{""coordinates"": [2.3435757045709087, 48.847510001736985], ""type"": ""Point""}";48.847510001736985,2.3435757045709087;2022-06
19856;Arbres, végétaux et animaux;Pied d'arbre:Entourage d'arbre en mauvais état;49 avenue de Clichy, 75017 PARIS;75017;Paris 17;17;BATIGNOLLES;2022-06-08;2022;6;Androï;DEVE-SAB;G2022F019856;"{""coordinates"": [2.3255009946496883, 48.88714600123961], ""type"": ""Point""}";48.88714600123961,2.3255009946496883;2022-06
53876;Arbres, végétaux et animaux;Herbes éparses;78 Rue de la Convention, 75015 PARIS;75015;Paris 15;15;CITROEN - BOUCICAUT;2022-04-23;2022;4;Androï;DPE-STPP-DT;G2022D053876;"{""coordinates"": [2.2840809943109126, 48.842612998154024], ""type"": ""Point""}";48.842612998154024,2.2840809943109126;2022-04
64833;Arbres, végétaux et animaux;Herbes éparses;Rue Jean Sébastien Bach, 75013 PARIS;75013;Paris 13;13;SALPETRIERE - AUSTERLITZ;2022-06-24;2022;6;Androï;DPE-STPP-DT;G2022F064833;"{""coordinates"": [2.365702594414417, 48.83067300112317], ""type"": ""Point""}";48.83067300112317,2.365702594414417;2022-06
