ID DECLARATION;TYPE DECLARATION;SOUS TYPE DECLARATION;ADRESSE;CODE POSTAL;VILLE;ARRONDISSEMENT;CONSEIL DE QUARTIER;DATE DECLARATION;ANNEE DECLARATION;MOIS DECLARATION;OUTIL SOURCE;INTERVENANT;ID_DMR;geo_shape;geo_point_2d;mois_annee_decla
38701;Arbres, végétaux et animaux;Présence de rats;2 place Ovida Delect, 75004 PARIS;75001;Paris 1;4;SAINT - GERVAIS;2022-02-17;2022;2;IOPage DMR Paris.fr application;DASES;A2022B038701;"{""coordinates"": [2.3563243941553536, 48.859183995717146], ""type"": ""Point""}";48.859183995717146,2.3563243941553536;2022-02
56179;Arbres, végétaux et animaux;Pied d'arbre:[] Grille d'arbre impossible à caler;78 Rue Cambronne, 75015 PARIS;75015;Paris 15;15;CAMBRONNE - GARIBALDI;2022-03-24;2022;3;Androï;DVD;G2022C056179;"{""coordinates"": [2.3022020061855386, 48.84313600212336], ""type"": ""Point""}";48.84313600212336,2.3022020061855386;2022-03
56197;Arbres, végétaux et animaux;Pied d'arbre:Élément de grille d'arbre manquant;4 place de Barcelone, 75016 PARIS;75016;Paris 16;16;AUTEUIL NORD;2022-03-24;2022;3;IOPage DMR Paris.fr application;DVD;A2022C056197;"{""coordinates"": [2.2734613043712524, 48.847682998202906], ""type"": ""Point""}";48.847682998202906,2.2734613043712524;2022-03
7572;Arbres, végétaux et animaux;Pied d'arbre:Élément de grille d'arbre manquant;30 Boulevard des Italiens, 75009 PARIS;75009;Paris 9;9;OPERA - CHAUSSEE D'ANTIN;2022-04-04;2022;4;IOPage DMR Paris.fr application;DVD;A2022D007572;"{""coordinates"": [2.3355720019118364, 48.87141400246593], ""type"": ""Point""}";48.87141400246593,2.3355720019118364;2022-04
48128;Arbres, végétaux et animaux;Arbre à élaguer;128 Rue des Poissonniers, 75018 PARIS;75018;Paris 18;18;AMIRAUX - SIMPLON - POISSONNIERS;2022-03-21;2022;3;Androï;DEVE-SAB;G2022C048128;"{""coordinates"": [2.3533072046057018, 48.89557999719575], ""type"": ""Point""}";48.89557999719575,2.3533072046057018;2022-03
35171;Arbres, végétaux et animaux;Pied d'arbre:Élément de grille d'arbre manquant;21 Boulevard de Bercy, 75012 PARIS;75012;Paris 12;12;JARDIN DE REUILLY;2022-02-15;2022;2;IOPage DMR Paris.fr application;DVD;A2022B035171;"{""coordinates"": [2.3885261992832265, 48.838959994721144], ""type"": ""Point""}";48.838959994721144,2.3885261992832265;2022-02
53302;Arbres, végétaux et animaux;Autres problèmes d'animaux et d'insectes:Présence d'un animal mort;38 Rue des Morillons, 75015 PARIS;75015;Paris 15;15;GEORGES BRASSENS;2022-03-23;2022;3;Androï;DPE-STPP-DT;G2022C053302;"{""coordinates"": [2.301230698573683, 48.83239399742005], ""type"": ""Point""}";48.83239399742005,2.301230698573683;2022-03
71926;Arbres, végétaux et animaux;Pied d'arbre:Grille d'arbre mal positionnée;38 Rue de Reuilly, 75012 PARIS;75012;Paris 12;12;JARDIN DE REUILLY;2022-03-30;2022;3;IOPage DMR Paris.fr application;DPE-STPP-DT;A2022C071926;"{""coordinates"": [2.3882910984866954, 48.84561499697089], ""type"": ""Point""}";48.84561499697089,2.3882910984866954;2022-03
72738;Arbres, végétaux et animaux;Arbre dangereux ou en mauvais état;78 rue Manin, 75019 PARIS;75019;Paris 19;19;DANUBE;2022-03-30;2022;3;IOPage DMR Paris.fr application;DEVE-SAB;A2022C072738;"{""coordinates"": [2.393659802256654, 48.885650000371875], ""type"": ""Point""}";48.885650000371875,2.393659802256654;2022-03
55730;Arbres, végétaux et animaux;Arbre dangereux ou en mauvais état;12 place Victor Hugo, 75116 PARIS;75016;Paris 16;16;DAUPHINE;2022-03-24;2022;3;IOPage DMR Paris.fr application;DEVE-SAB;A2022C055730;"{""coordinates"": [2.2846658042465022, 48.86960000348207], ""type"": ""Point""}";48.86960000348207,2.2846658042465022;2022-03
36889;Arbres, végétaux et animaux;Pied d'arbre:Grille d'arbre mal positionnée;11 Avenue George V, 75008 PARIS;75008;Paris 8;8;TRIANGLE D'OR;2022-02-16;2022;2;IOPage DMR Paris.fr application;DPE-STPP-DT;A2022B036889;"{""coordinates"": [2.3008956961219607, 48.86618799706741], ""type"": ""Point""}";48.86618799706741,2.3008956961219607;2022-02
1531;Arbres, végétaux et animaux;Arbuste ou jardinière en mauvais état;163 Rue Saint-Denis, 75002 PARIS;75001;Paris 1;2;MONTORGUEIL - SAINT-DENIS;2022-04-01;2022;4;IOPage DMR Paris.fr application;;A2022D001531;"{""coordinates"": [2.3503081953112734, 48.865196003295], ""type"": ""Point""}";48.865196003295,2.3503081953112734;2022-04
